Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
354.0;0.029382;762360.0092814683;21278478.74472662;18632171.06118375
355.0;0.029465;1055850.951962449;21417174.51231308;18182243.08795063
356.0;0.029548;1346532.80962937;21608596.82926193;17923805.74687761
357.0;0.029631;1637345.695087482;21677624.44327584;17427382.96312322
358.0;0.029714;1925976.616505385;21791575.3575814;17098488.38729516
359.0;0.029797;2213340.53475241;21814853.71736025;16600349.96630472
360.0;0.02988;2495208.745511485;21834755.50713192;16154765.02442193
361.0;0.029963;2777673.805250869;21819345.10204212;15680891.39272848
362.0;0.030046;3057621.945142258;21724439.05073356;15067367.96204886
363.0;0.030129;3336863.110578571;21683966.05423658;14654866.92391847
364.0;0.030212;3613177.060115332;21511401.28055959;13958359.8431126
365.0;0.030295;3885088.522494955;21385000.48130959;13465476.73051616
366.0;0.030378;4161111.162339735;21143022.71743429;12740180.11053389
367.0;0.030461;4433934.944067671;20958304.43769507;12213676.62296416
368.0;0.030544;4711435.009360223;20680913.72617253;11494669.65797206
369.0;0.030627;4996733.993956053;20431336.36974324;10890795.20081233
370.0;0.03071;5297308.562525423;20122914.47518187;10190414.55917679
371.0;0.030793;5587667.121720748;19816755.19546499;9536690.308881765
372.0;0.030876;5893340.444090773;19478579.90841652;8845554.435543813
373.0;0.030959;6220101.208519015;19107490.15557908;8149497.492548248
374.0;0.031042;6547202.338490165;18762950.18636123;7477740.653640505
375.0;0.031125;6897607.995787154;18455934.36444565;6825669.809008577
376.0;0.031208;7288465.52225949;18098109.42889762;6162081.937584469
377.0;0.031291;7693803.864378056;17758302.91968278;5494193.309978817
378.0;0.031374;8111336.701348062;17443317.16006494;4832402.126624375
379.0;0.031457;8534614.519618247;17067832.08761854;4159678.489509746
380.0;0.03154;8981539.214250157;16682632.9499057;3507337.03493488
381.0;0.031623;9404974.071797019;16248284.83406195;2862088.855663868
382.0;0.031706;9810940.940771684;15833815.61591576;2232476.057249698
383.0;0.031789;10186380.53378294;15302367.88178959;1593064.045916712
384.0;0.031872;10517769.90867455;14627894.82660783;976801.6554385961
385.0;0.031955;10850141.84606773;13948685.22922538;387797.8202368422
386.0;0.032038;11130411.17450684;13272482.2374696;105528.9818768423
387.0;0.032121;11374732.35446818;12595301.39712469;525227.4139919449
388.0;0.032204;11621185.06974089;11922277.87684932;903334.0812207884
389.0;0.032287;11874869.55372701;11301487.92098658;1249077.867815332
390.0;0.03237;12125779.87398334;10746493.52093056;1580451.735723047
391.0;0.032453;12386740.92884685;10253678.80133224;1902595.027366644
392.0;0.032536;12651951.55236311;9791370.193401346;2215838.880794863
393.0;0.032619;12889157.86808553;9388214.425407568;2520252.923104967
394.0;0.032702;13122249.76221086;8944269.738007162;2820623.716810994
395.0;0.032785;13345920.13839001;8601615.131725691;3108646.376901424
396.0;0.032868;13583268.51309396;8326459.986761953;3385015.63284481
397.0;0.032951;13830253.34527527;8099783.645469675;3650839.161751818
398.0;0.033034;14077054.68073156;7918394.188735623;3913630.412483561
399.0;0.033117;14356876.12201756;7802924.533636894;4179642.881373803
400.0;0.0332;14879530.95162187;7976272.994765595;4443427.80468315
401.0;0.033283;15560304.47225149;8411151.453232551;4704760.968705445
402.0;0.033366;16407248.18946952;9048963.707001967;4963415.072843445
403.0;0.03344900000000001;17143326.73755014;9563550.48321764;5230430.270000024
404.0;0.03353200000000001;17833247.29248356;9935846.110478144;5502941.760599917
405.0;0.03361500000000001;18180951.57669423;9940085.360897051;5795728.761569727
406.0;0.03369800000000001;18352984.22573738;9777077.692951912;6092654.532347154
407.0;0.03378100000000001;18447227.7000303;9441518.910801742;6407104.265521098
408.0;0.03386400000000001;18307984.31018281;8922394.603304733;6734151.778811309
